时间(s),front_end_face_预测,front_end_face_真实,front_end_face_误差,cooling_top_1_预测,cooling_top_1_真实,cooling_top_1_误差,rear_bearing_outer_预测,rear_bearing_outer_真实,rear_bearing_outer_误差,front_bearing_inner_预测,front_bearing_inner_真实,front_bearing_inner_误差,rear_bearing_inner_预测,rear_bearing_inner_真实,rear_bearing_inner_误差,spindle_tail_预测,spindle_tail_真实,spindle_tail_误差,spindle_bottom_预测,spindle_bottom_真实,spindle_bottom_误差
0,30.548103,21.8,8.748103,27.993778,22.0,5.993777999999999,28.67778,22.2,6.477779999999999,33.931175,21.6,12.331175000000002,31.628494,21.7,9.928494,27.748865,22.1,5.648864999999997,27.238976,21.9,5.338976000000002
399,34.894905,27.8,7.094905000000001,30.599953,25.2,5.399953,32.088936,22.8,9.288935999999996,38.821106,28.8,10.021106,35.2315,25.5,9.731499999999997,30.376299,22.6,7.776298999999998,29.430218,22.6,6.830217999999999
799,34.907593,31.2,3.7075929999999993,30.610052,27.1,3.510051999999998,32.102673,23.3,8.802673000000002,38.834717,32.0,6.834716999999998,35.24665,26.9,8.346650000000004,30.389017,22.9,7.4890170000000005,29.441904,23.0,6.441904000000001
1199,34.907597,32.6,2.3075970000000012,30.610056,27.9,2.7100560000000016,32.102676,23.7,8.402676000000003,38.83472,33.4,5.434719999999999,35.24666,27.7,7.546659999999999,30.38902,23.2,7.189019999999999,29.441908,23.3,6.141908000000001
1599,34.907597,33.2,1.7075969999999998,30.610056,28.1,2.5100559999999987,32.102676,23.7,8.402676000000003,38.83472,33.8,5.03472,35.24666,28.1,7.146659999999997,30.38902,23.4,6.98902,29.441908,23.5,5.9419080000000015
1999,34.907597,33.3,1.6075970000000055,30.610056,28.3,2.3100559999999994,32.102676,23.8,8.302676000000002,38.83472,34.0,4.834719999999997,35.24666,28.1,7.146659999999997,30.38902,23.4,6.98902,29.441908,23.6,5.841908
2399,34.907597,33.5,1.4075970000000027,30.610056,28.3,2.3100559999999994,32.102676,23.9,8.202676000000004,38.83472,34.2,4.634719999999994,35.24666,28.3,6.946659999999998,30.38902,23.5,6.889019999999999,29.441908,23.7,5.741908000000002
2799,34.907597,33.6,1.3075970000000012,30.610056,28.3,2.3100559999999994,32.102676,23.8,8.302676000000002,38.83472,34.2,4.634719999999994,35.24666,28.3,6.946659999999998,30.38902,23.5,6.889019999999999,29.441908,23.7,5.741908000000002
3199,34.907597,33.6,1.3075970000000012,30.610056,28.5,2.110056,32.102676,24.0,8.102676000000002,38.83472,34.2,4.634719999999994,35.24666,28.3,6.946659999999998,30.38902,23.6,6.789019999999997,29.441908,23.8,5.641908000000001
3599,34.907597,33.6,1.3075970000000012,30.610056,28.4,2.2100560000000016,32.102676,23.9,8.202676000000004,38.83472,34.2,4.634719999999994,35.24666,28.3,6.946659999999998,30.38902,23.6,6.789019999999997,29.441908,23.7,5.741908000000002
